time,.data
2022/11/28/23:03:58.373686,"(3, 0, -1, -2, 1, 3, 2, 4)"
2022/11/28/23:03:58.373699,"(0, -4, -9, -3, 1, -1, -1, 0)"
2022/11/28/23:03:58.386067,"(1, 2, 1, 1, 0, 2, 1, 1)"
2022/11/28/23:03:58.386084,"(-4, -1, 2, -2, -1, -3, -2, -4)"
2022/11/28/23:03:58.392566,"(-2, 5, -2, -2, -2, -4, -3, -2)"
2022/11/28/23:03:58.392580,"(-1, -4, -2, -1, 1, 3, 1, -1)"
2022/11/28/23:03:58.409106,"(4, 1, -1, -3, 0, 3, 0, 2)"
2022/11/28/23:03:58.409137,"(0, 3, 2, 2, 1, -3, -3, -1)"
2022/11/28/23:03:58.411219,"(1, 2, -4, 6, -6, -3, -1, 0)"
2022/11/28/23:03:58.411238,"(-3, -4, -1, -1, 8, 0, -1, -4)"
2022/11/28/23:03:58.431762,"(0, -7, -1, -7, 2, 4, 1, 0)"
2022/11/28/23:03:58.431799,"(1, 1, -10, 16, -2, 0, 1, 2)"
2022/11/28/23:03:58.433605,"(-3, 2, 8, -15, -4, -3, -3, -4)"
2022/11/28/23:03:58.433618,"(-3, -1, -4, 2, -10, -7, -4, -2)"
2022/11/28/23:03:58.446563,"(1, 1, 1, 6, 8, 4, 3, 0)"
2022/11/28/23:03:58.446601,"(0, -4, -1, -18, -18, 0, -1, -1)"
2022/11/28/23:03:58.452794,"(-2, -1, 2, 11, 24, 1, -2, 1)"
2022/11/28/23:03:58.452818,"(-1, 2, -2, -3, -1, -1, -2, -1)"
2022/11/28/23:03:58.469299,"(-7, -3, 2, 4, -5, -7, -2, -4)"
2022/11/28/23:03:58.469321,"(11, -1, -6, 3, 9, 9, 5, 8)"
2022/11/28/23:03:58.471181,"(-7, 2, 1, -8, -15, -4, -2, -3)"
2022/11/28/23:03:58.471194,"(-3, -4, 0, -14, -4, 0, 1, 0)"
2022/11/28/23:03:58.491795,"(0, 1, 2, 0, 1, -2, -2, -1)"
2022/11/28/23:03:58.491827,"(-3, -4, -6, -1, 0, 1, -2, -2)"
2022/11/28/23:03:58.493526,"(2, -2, 1, -7, -4, 1, 1, -2)"
2022/11/28/23:03:58.493544,"(-2, 2, 5, -1, 0, -4, -3, -2)"
2022/11/28/23:03:58.505238,"(-2, 1, -12, -15, -8, -3, 1, 0)"
2022/11/28/23:03:58.505253,"(-4, -5, 2, 32, 6, 0, 0, -2)"
2022/11/28/23:03:58.515261,"(1, -4, 1, 0, -8, -1, -2, -2)"
2022/11/28/23:03:58.515292,"(0, -2, 2, 0, 9, 2, 1, -1)"
2022/11/28/23:03:58.529394,"(2, 1, -2, -5, -6, -3, -3, 3)"
2022/11/28/23:03:58.529405,"(-8, -1, 3, -14, 2, -4, -3, -5)"
2022/11/28/23:03:58.531069,"(-2, 2, 1, 10, 3, 0, 0, -3)"
2022/11/28/23:03:58.531087,"(-1, -6, -10, -8, -7, 1, 2, 0)"
2022/11/28/23:03:58.551747,"(0, 0, 1, 3, 3, 1, -2, 1)"
2022/11/28/23:03:58.552052,"(1, 1, 0, 4, 3, -2, -2, 0)"
2022/11/28/23:03:58.553666,"(-3, -1, -3, -2, -2, 2, 0, 1)"
2022/11/28/23:03:58.553688,"(0, 4, 4, 2, -3, -2, 1, 0)"
2022/11/28/23:03:58.566201,"(-3, -2, -2, -3, -2, -3, -1, -2)"
2022/11/28/23:03:58.566210,"(1, 1, 1, -4, -2, -1, -1, 1)"
2022/11/28/23:03:58.572613,"(2, -10, -3, -2, -1, 1, 0, 0)"
2022/11/28/23:03:58.572627,"(2, 0, -1, 3, 4, 4, 0, -1)"
2022/11/28/23:03:58.589329,"(0, 8, 0, 5, 1, -4, 1, 0)"
2022/11/28/23:03:58.589528,"(-5, 1, -1, -9, -3, -3, -2, -1)"
2022/11/28/23:03:58.591055,"(3, -4, 0, -3, -1, 0, 2, 2)"
2022/11/28/23:03:58.591076,"(0, 1, -5, -5, 0, 1, 0, 0)"
2022/11/28/23:03:58.611882,"(-2, -8, 0, 7, -9, 2, -3, -4)"
2022/11/28/23:03:58.611899,"(1, 3, 3, 13, 19, 5, 1, 1)"
2022/11/28/23:03:58.613654,"(-3, 4, 0, -1, -6, -6, -2, -2)"
2022/11/28/23:03:58.613685,"(-5, -6, -3, -3, -23, -6, -3, -4)"
2022/11/28/23:03:58.626103,"(0, -1, -1, -4, 29, 3, 0, -2)"
2022/11/28/23:03:58.626128,"(2, -1, -1, -6, -10, -2, 2, 2)"
2022/11/28/23:03:58.632796,"(-3, 4, -1, 3, 0, -1, -4, -1)"
2022/11/28/23:03:58.632819,"(5, -3, -4, -7, -6, 0, 1, 4)"
2022/11/28/23:03:58.649280,"(-2, -3, -2, -2, -9, -3, -2, -1)"
2022/11/28/23:03:58.649522,"(-1, -2, -2, -5, 2, -2, -3, -1)"
2022/11/28/23:03:58.651683,"(-2, -8, -4, -2, 4, 2, 0, 1)"
2022/11/28/23:03:58.651703,"(-4, 0, 5, 5, 3, -2, -4, -4)"
2022/11/28/23:03:58.671731,"(-1, 7, 0, 10, -1, -2, 1, 0)"
2022/11/28/23:03:58.671746,"(-6, -3, 3, -5, -1, -3, -1, -5)"
2022/11/28/23:03:58.673474,"(3, 2, -4, -4, -6, 1, -1, -1)"
2022/11/28/23:03:58.673501,"(2, -1, 0, 0, 8, 1, -1, 1)"
2022/11/28/23:03:58.685116,"(-3, 1, -4, -6, -6, -5, -1, -1)"
2022/11/28/23:03:58.685138,"(0, -1, 1, -5, -6, -2, -1, -2)"
2022/11/28/23:03:58.694610,"(-4, -1, -4, -2, -3, -3, 0, -2)"
2022/11/28/23:03:58.694625,"(-3, -1, 4, 9, 10, 2, -2, -3)"
2022/11/28/23:03:58.708883,"(3, -8, -5, 3, -4, -1, 0, 0)"
2022/11/28/23:03:58.708900,"(-2, 3, -1, -10, -12, -1, -3, -1)"
2022/11/28/23:03:58.710745,"(-4, 2, 0, -12, 9, -1, -1, -1)"
2022/11/28/23:03:58.710754,"(1, -5, 1, 24, 0, -2, -2, 0)"
2022/11/28/23:03:58.731824,"(-2, -1, -1, -7, -3, 1, 0, 0)"
2022/11/28/23:03:58.731833,"(2, 2, -3, -1, -1, 1, 0, 0)"
2022/11/28/23:03:58.733671,"(0, -6, -2, -2, -2, -1, -2, -2)"
2022/11/28/23:03:58.733686,"(0, 9, 1, -8, -2, 0, 1, 1)"
2022/11/28/23:03:58.745037,"(-4, -1, 0, 0, -4, -3, -2, -3)"
2022/11/28/23:03:58.745050,"(-3, -7, -2, -3, -2, -4, -1, -1)"
2022/11/28/23:03:58.754703,"(3, 4, -2, 5, 0, 0, 0, 1)"
2022/11/28/23:03:58.754750,"(-2, 1, -3, -3, -1, -2, 0, -2)"
2022/11/28/23:03:58.768987,"(-3, -7, -3, -1, -3, 1, -2, 1)"
2022/11/28/23:03:58.769009,"(1, 4, 3, 2, 6, 3, 1, 1)"
2022/11/28/23:03:58.770781,"(-4, 1, -1, 1, -5, -3, 0, -4)"
2022/11/28/23:03:58.770793,"(0, -2, -4, -5, -5, -4, -2, -1)"
2022/11/28/23:03:58.791793,"(-2, 4, 2, -3, 0, 1, -1, -2)"
2022/11/28/23:03:58.791806,"(-6, -15, -3, 1, -2, -2, -2, -2)"
2022/11/28/23:03:58.793591,"(1, -3, 0, 0, 0, -2, -1, 3)"
2022/11/28/23:03:58.793611,"(2, 1, -3, 1, -1, -1, 1, 0)"
2022/11/28/23:03:58.805145,"(0, 0, 0, -4, 0, -2, -2, -3)"
2022/11/28/23:03:58.805169,"(1, 4, 1, 2, 1, -1, -1, 0)"
2022/11/28/23:03:58.814821,"(-3, -2, 2, 5, -4, -3, 1, -2)"
2022/11/28/23:03:58.814849,"(0, -2, -1, -4, 3, 2, 2, -1)"
2022/11/28/23:03:58.829125,"(1, -2, -2, 0, -5, 0, 1, 0)"
2022/11/28/23:03:58.829141,"(-2, 0, -3, 0, 9, -1, 0, -1)"
2022/11/28/23:03:58.830894,"(1, 0, 0, 2, -3, -3, -1, -1)"
2022/11/28/23:03:58.830904,"(-7, 2, -1, 0, -3, -2, 0, -2)"
2022/11/28/23:03:58.851713,"(0, -7, -1, -6, 1, -1, 0, 0)"
2022/11/28/23:03:58.851726,"(1, -1, -2, -9, -9, -4, 0, -2)"
