time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/22:55:17.806932,24,1669697717,806514263,RL_myo,0.7337196334366468,0.5026965228337262,-0.3048162257202075,-0.3406446447225627,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.1875,68.5,31.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00439453125,0.68994140625,0.24853515625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.828116,25,1669697717,827549695,RL_myo,0.7402116108403352,0.5020401170249655,-0.29957603578827124,-0.332109456137731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-14.25,52.875,45.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.08349609375,0.70703125,0.27001953125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.843932,26,1669697717,843587160,RL_myo,0.7437180473239828,0.5020783469254889,-0.29834171648088864,-0.3252583893466971,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.625,27.75,39.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.03173828125,0.70849609375,0.3193359375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.868126,27,1669697717,867357969,RL_myo,0.7443427583027362,0.5038580951036562,-0.30036168213265807,-0.31916099082943894,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",19.3125,13.8125,27.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1279296875,0.740234375,0.2314453125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.888376,28,1669697717,887816905,RL_myo,0.741475766003957,0.5071552633953638,-0.3060388122113797,-0.3151943410968418,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",28.4375,-10.0,22.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1611328125,1.10595703125,0.18359375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.904166,29,1669697717,903640747,RL_myo,0.7369594378967932,0.5105736042741987,-0.30683245770309586,-0.3194670944137664,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",15.625,-14.9375,-36.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.27685546875,1.4130859375,0.3427734375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.927212,30,1669697717,926784276,RL_myo,0.7369453742501068,0.5087327889990592,-0.30499553048929795,-0.32416074893509333,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-31.875,-7.5,-22.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.158203125,1.1640625,0.18115234375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.948623,31,1669697717,947808504,RL_myo,0.7427946500049608,0.5004250891857579,-0.30120719784506833,-0.32726909723308134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-70.1875,2.875,0.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.140625,0.99365234375,0.25244140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.963997,32,1669697717,963540077,RL_myo,0.746714359254064,0.4956122770265653,-0.2972452942265238,-0.32928919144806895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-39.0625,6.6875,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.033203125,0.79345703125,0.337890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.987484,33,1669697717,987030982,RL_myo,0.7452446867946284,0.4966466843937667,-0.2972433763054742,-0.33105709919525506,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.625,-8.125,-4.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00537109375,0.88037109375,0.30859375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.009734,34,1669697718,9384632,RL_myo,0.7423162832145591,0.49963830738319204,-0.299074970214713,-0.3314849312726748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",18.4375,-9.75,-1.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0400390625,1.04150390625,0.2734375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.024290,35,1669697718,23942708,RL_myo,0.7413850296462444,0.5001770246110951,-0.29967897386705034,-0.3322103166513961,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.25,-6.25,0.125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06298828125,1.0400390625,0.30029296875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.047308,36,1669697718,46893119,RL_myo,0.7424863237420142,0.49816468346751497,-0.299557984128714,-0.33288289434352203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.0,-4.125,4.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.078125,0.94970703125,0.34326171875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.069618,37,1669697718,69126129,RL_myo,0.743436916660816,0.4964791362987748,-0.2989617420200884,-0.33381416233316935,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.8125,-2.5,0.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.08740234375,0.89501953125,0.35791015625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.084166,38,1669697718,83718538,RL_myo,0.7432539121127432,0.4966623210036455,-0.2988397104134015,-0.33405836092576524,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.0,-0.75,-2.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.10693359375,0.892578125,0.37890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
