time,.data
2022/11/28/23:03:58.197306,"(9, 2, 0, -5, -1, -1, -2, 2)"
2022/11/28/23:03:58.218974,"(0, -15, -4, 2, -4, -6, -3, -10)"
2022/11/28/23:03:58.218988,"(-6, -7, -3, -2, -2, -2, 2, 7)"
2022/11/28/23:03:58.219965,"(0, -14, -5, 3, 5, 1, -2, 16)"
2022/11/28/23:03:58.219989,"(16, 10, 16, 3, -1, -2, -8, -5)"
2022/11/28/23:03:58.233214,"(-6, 7, 0, 1, -3, -4, 0, -10)"
2022/11/28/23:03:58.233228,"(8, -1, -5, -7, -3, -6, -15, -7)"
2022/11/28/23:03:58.241991,"(-12, -12, -7, -2, -1, -1, -5, -18)"
2022/11/28/23:03:58.242034,"(9, 13, 5, 0, -1, -3, -20, 3)"
2022/11/28/23:03:58.256642,"(-7, 0, -6, 0, 1, -2, 7, 5)"
2022/11/28/23:03:58.256662,"(-13, -11, -3, -5, -4, 5, 23, 21)"
2022/11/28/23:03:58.264197,"(22, 2, -5, -9, -4, -5, -19, 2)"
2022/11/28/23:03:58.264232,"(-6, 3, 6, 0, 2, 1, 4, -7)"
2022/11/28/23:03:58.279551,"(-13, -10, -6, 0, -4, -1, 0, -4)"
2022/11/28/23:03:58.279678,"(20, 13, 5, 11, 10, 3, 11, 6)"
2022/11/28/23:03:58.280189,"(-34, -9, -3, -2, 0, 6, 14, 18)"
2022/11/28/23:03:58.280213,"(4, -4, -3, -4, -4, -1, 4, -10)"
2022/11/28/23:03:58.293148,"(-5, -1, -1, -2, -2, -3, -4, -9)"
2022/11/28/23:03:58.293170,"(-8, -2, 1, -9, -2, -5, 5, -4)"
2022/11/28/23:03:58.301564,"(25, 9, 3, -3, -2, 18, 4, 17)"
2022/11/28/23:03:58.301581,"(-2, -5, -4, -2, -4, -1, 5, 7)"
2022/11/28/23:03:58.316450,"(10, -2, -8, -11, 0, 2, 1, -38)"
2022/11/28/23:03:58.316535,"(2, -4, 4, 7, 1, 0, -5, 0)"
2022/11/28/23:03:58.317269,"(12, 9, 11, 9, 4, -4, -5, -4)"
2022/11/28/23:03:58.317285,"(-3, 1, 6, 7, 1, -2, 2, -3)"
2022/11/28/23:03:58.339237,"(7, 4, 3, -2, 0, 1, -7, 11)"
2022/11/28/23:03:58.339468,"(-10, 4, -14, -15, -4, -1, -3, -4)"
2022/11/28/23:03:58.339751,"(-4, -26, -2, 0, -4, -8, 3, 2)"
2022/11/28/23:03:58.339811,"(3, 9, 1, -2, -1, 1, -3, -7)"
2022/11/28/23:03:58.362283,"(6, 4, 1, 11, 4, 1, -4, 5)"
2022/11/28/23:03:58.362314,"(-6, 17, 6, -3, -4, -4, -7, 3)"
2022/11/28/23:03:58.363163,"(3, -58, -11, -3, -1, -1, 5, 0)"
2022/11/28/23:03:58.363226,"(34, 33, 10, 11, 2, -1, 2, 3)"
2022/11/28/23:03:58.376376,"(-18, -12, -4, -1, 2, -1, -9, 2)"
2022/11/28/23:03:58.376421,"(-12, -3, -11, -15, -5, 0, -1, -6)"
2022/11/28/23:03:58.377116,"(6, 30, 3, 12, 0, -2, 2, 6)"
2022/11/28/23:03:58.377129,"(8, -25, 3, -4, 0, -2, -5, -18)"
2022/11/28/23:03:58.399249,"(29, 0, -3, -2, -1, 3, 9, 43)"
2022/11/28/23:03:58.399487,"(-14, -10, 4, 5, 1, 0, -15, -10)"
2022/11/28/23:03:58.400022,"(-1, 22, 7, -10, -1, -5, -12, -10)"
2022/11/28/23:03:58.400038,"(-13, -29, -21, -6, -3, -4, 2, -28)"
2022/11/28/23:03:58.422930,"(-8, 49, 14, 3, -2, 1, 2, -8)"
2022/11/28/23:03:58.424572,"(24, -31, 8, -4, -1, 1, 4, 21)"
2022/11/28/23:03:58.424586,"(-15, -21, -20, 0, 0, -2, 1, -18)"
2022/11/28/23:03:58.424591,"(-11, 29, 7, 1, 0, -1, 4, 11)"
2022/11/28/23:03:58.436501,"(13, -15, -11, -4, 0, 0, -5, -2)"
2022/11/28/23:03:58.437518,"(-39, 1, 7, 0, -2, 0, 4, -11)"
2022/11/28/23:03:58.437532,"(7, 3, 4, 12, -1, -3, -2, 2)"
2022/11/28/23:03:58.437536,"(-4, -12, -2, -8, -1, 1, 4, 10)"
2022/11/28/23:03:58.459366,"(-30, -7, -8, -8, -4, -4, -9, -22)"
